date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:16	125/125	---MCZ	200	added ('OK')	text/plain	date:Thu,%2025%20Jul%202024%2018:50:15%20GMT	https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/robots.txt		(from )
20:50:19	479226/479226	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2018:50:19%20GMT	https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/index.html	(from )
20:50:21	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2018:50:19%20GMT	http://fonts.googleapis.com/	/Users/nikita/Desktop/CFweb/nikita/fonts.googleapis.com/index.html	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:21	6834/6834	---MCZ	200	added ('OK')	text/css	etag:W/%22669fba85-1ab2%22	https://construccionesfiables.10web.me/wp-content/plugins/tenweb-builder/Apps/SectionGeneration/assets/style/section_generation_embed.min.css?ver=1.20.104	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/wp-content/plugins/tenweb-builder/Apps/SectionGeneration/assets/style/section_generation_embed.minc49c.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:21	2592/2592	---MC-	200	added ('OK')	application/rss+xml	etag:%22ab31bbca5066d0740a87c2f81f89e790%22	https://construccionesfiables.10web.me/feed/	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/feed/index.html	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:21	211327/211327	---MCZ	200	added ('OK')	text/css	etag:W/%22669e5b3d-3397f%22	https://construccionesfiables.10web.me/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.1	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/wp-content/plugins/elementor/assets/css/frontend-lite.min93d8.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:21	755/755	---MC-	200	added ('OK')	application/rss+xml	etag:%22ab31bbca5066d0740a87c2f81f89e790%22	https://construccionesfiables.10web.me/comments/feed/	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/comments/feed/index.html	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:23	676468/676468	---MCZ	200	added ('OK')	text/css	etag:W/%22669fba85-a5274%22	https://construccionesfiables.10web.me/wp-content/plugins/tenweb-builder/assets/frontend/css/frontend.min.css?ver=1.20.104	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/wp-content/plugins/tenweb-builder/assets/frontend/css/frontend.minc49c.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:24	10665/10665	---MCZ	200	added ('OK')	text/css	etag:W/%22669e6e8a-29a9%22	https://construccionesfiables.10web.me/wp-content/uploads/elementor/css/post-187.css?ver=1721659018	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/wp-content/uploads/elementor/css/post-187877f.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:25	1325/1325	---MC-	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2018:50:24%20GMT	https://fonts.googleapis.com/css2?family=Open+Sans%3Awght%40300%3B400%3B600%3B700%3B800&display=swap&ver=2.1.10	/Users/nikita/Desktop/CFweb/nikita/fonts.googleapis.com/css227d1.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:26	19756/19756	---MCZ	200	added ('OK')	text/css	etag:W/%22669e5b43-4d2c%22	https://construccionesfiables.10web.me/wp-content/themes/tenweb-website-builder-theme/assets/css/styles.min.css?ver=2.1.10	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/wp-content/themes/tenweb-website-builder-theme/assets/css/styles.min6176.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
20:50:27	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22669e5b3d-4057%22	https://construccionesfiables.10web.me/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	/Users/nikita/Desktop/CFweb/nikita/construccionesfiables.10web.me/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://construccionesfiables:B6HRK6Vt4SRBYnfHgC@construccionesfiables.10web.me/)
